Principe actif;Classe;Galénique;Galéniques alternatives;Préparation;Goût;Administration du médicament modifié;Informations;Sources;Autres sources;Réponses des laboratoires;Date
ACETYLLEUCINE 500 mg (Tanganil);Antivertigineux;Comprimé;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Pierre Fabre 21-02-2022 : écrasement déconseillé car pas d'étude.;2023-04-18
ACICLOVIR 200 et 800 mg (Zovirax);Nucléosides et nucléotides sauf inhibiteurs de la transcriptase inverse ;Comprimé;Suspension buvable;Ne pas écraser ni croquer;;;;Notice patient;Ecrasable selon HUG 03/2023;;2023-04-18
ACIDE ACETYLSALICYLIQUE 75mg et 100mg (Resitune);Antiagrégants plaquettaires à l'exclusion de l’héparine;Comprimé ;Solution buvable (sachets);;;;A avaler entiers avec suffisamment de boisson (1/2 verre d’eau). En raison de l’enrobage gastro-résistant, les comprimés ne doivent pas être écrasés, cassés ou mâchés. L'enrobage prévient les effets irritants sur l'intestin. En cas d’urgence, les comprimés peuvent être écrasés ou mâchés dans le but d’accélérer l’absorption de l’acide acétylsalicylique.;RCP;Ecrasable si urgence (RCP);Pfizer 20/11/2025 : écrasement uniquement en cas d'urgence (accélération de l'absorption). ;2025-11-20
ACIDE ALENDRONIQUE / CHOLECALCIFEROL 70/2800 et 70/5600 UI (Fosavance);Biphosphonates en associations;Comprimé;Acide alendronique comprimé effervescent + Cholecalciferol buvable;Ne pas écraser ni croquer;;;PA très irritant (risque d'ulcération). A prendre avec un grand verre d'eau (≥ 200 mL) peu minéralisée le matin à jeun. Patienter ensuite ≥ 30 min avant de manger, boire, s’allonger ou prendre d’autres médicaments.;RCP;;;2023-04-18
ACIDE ALENDRONIQUE 10 et 70 mg (Fosamax);Biphosphonates;Comprimé;Comprimés effervescents;Ne pas écraser ni croquer;;;PA très irritant (risque d'ulcération). A prendre avec un grand verre d'eau (≥ 200 mL) peu minéralisée le matin à jeun. Patienter ensuite ≥ 30 min avant de manger, boire, s’allonger ou prendre d’autres médicaments.;RCP;;;2023-04-18
ACIDE CLODRONIQUE 520 et 800 mg (Clastoban, Lytos);Biphosphonates;Comprimé;Non;Ne pas écraser ni croquer;;;PA très irritant. A prendre avec un grand verre d'eau (≥ 200 mL) peu minéralisée le matin à jeun (et ≥ 2h après un repas si 2ème prise journalière). Ne pas manger, boire ni trop bouger jusqu’à 1h après la prise.;RCP;;;2023-04-18
ACIDE FOLINIQUE 5 et 25 mg (Folinoral);Médicaments détoxifiants dans un traitement cytostatique;Gélule;Non;Ouverture possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;;Réponse laboratoire;;Therabel 25-02-2022 : possibilité d'ouvrir la gélule et de mélanger le contenu avec de la nourriture ou une boisson.;2023-04-18
ACIDE FOLINIQUE 5, 15 et 25 mg (Lederfoline);Médicaments détoxifiants dans un traitement cytostatique;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.;2023-04-18
ACIDE FOLIQUE 0,4 et 5 mg (Speciafoldine);Acide folique et dérivés;Comprimé;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;2023-04-18
ACIDE FUSIDIQUE 250 mg (Fucidine);Antibactériens stéroïdiens;Comprimé;Suspension buvable;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise immédiate après préparation<br>;;Réponse laboratoire;;Leo pharma 14-02-2022 : écrasement possible si administration immédiate mais goût amer. Peut être pris avec un liquide sucré. Ne pas prendre avec du lait.;2023-04-18
ACIDE MEFENAMIQUE 250 mg (Ponstyl);Fénamates;Gélule;Non;Ne pas ouvrir;;;A prendre pendant les repas.;RCP;;Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.;2023-04-18
ACIDE NIFLUMIQUE 250 mg (Nifluril);Autres anti-inflammatoires antirhumatismaux non stéroïdiens;Gélule;Suppositoires;Ne pas ouvrir;;;A prendre pendant les repas.;RCP;;;2023-04-18
ACIDE PARA-AMINOSALICYLIQUE 4 g (Granupas);Acide aminosalicylique et dérivés;Granulés GR;Non;Ne pas écraser ni croquer;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;Peut être mélangé à un jus d'orange ou de tomate, de la compote ou un yaourt, tant que les granulés restent intacts.;RCP;;;2023-04-18
ACIDE RISEDRONIQUE 5, 30, 35 et 75 mg (Actonel);Biphosphonates;Comprimé;Non;Ne pas écraser ni croquer;;;PA très irritant (risque d'ulcération). A prendre avec un grand verre d'eau (≥ 200 mL) peu minéralisée le matin à jeun. Patienter ensuite ≥ 30 min avant de manger, boire, s’allonger ou prendre d’autres médicaments.;RCP;;Theramex 17-02-2022 : cf RCP;2023-04-18
ACIDE TIAPROFENIQUE 100 et 200 mg (Surgam);Dérivés de l'acide propionique;Comprimé sécable;Non;Délitement possible;;Prise possible avec de l’eau<br>;Peut être dissout sans l'écraser dans un grand verre d'eau.;RCP;;;2023-04-18
ACIDE TRANEXAMIQUE 500 mg (Exacyl);Acides aminés;Comprimé;Solution buvable;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;;Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.;2023-04-18
ACIDE URSODESOXYCHOLIQUE 200 mg (Ursolvan);Acides biliaires et dérivés;Gélule;Suspension buvable (AAC);Ne pas ouvrir;;;A prendre pendant les repas.;Notice patient;;Cheplapharm 14-03-2022 : cf. RCP;2023-04-18
ACIDE URSODESOXYCHOLIQUE 250 et 500 mg (Cholurso, Delursan);Acides biliaires et dérivés;Comprimé ou comprimé sécable;Suspension buvable (AAC);Écrasement possible;Goût désagréable;;A prendre pendant les repas.;Réponse laboratoire;;Laboratoires Mayoly Spindler 27-06-25 : écrasement possible mais goût amer.;2025-06-27
ACITRETINE 10 et 25 mg (Soriatane);Rétinoïdes pour le traitement du psoriasis;Gélule;Non;Ne pas ouvrir;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;PA tératogène. A prendre de préférence pendant les repas ou avec du lait;Notice patient;Ouvrable selon laboratoire;Arrow 15-03-2022 : ouverture possible si administration immédiate (molécule très fragile) et lavage des mains au savon (contact cutané seul non tératogène, mais à risque d'ingestion).;2023-04-18
ADEFOVIR 10 mg (Hepsera);Inhibiteurs de la transcriptase inverse nucléosidique et nucléotidique;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;;Gilead 02-03-2022 : écrasement déconseillé car pas d'étude;2023-04-18
AFATINIB 20, 30, 40 et 50 mg (Giotrif);Inhibiteurs de protéine kinase;Comprimé;Non;Délitement possible;;Prise possible avec de l’eau<br>;"A prendre à heure fixe, ≥ 1h avant ou ≥ 3h après les repas. Peut être dispersé sans l'écraser dans environ 100 mL d'eau plate (aucun autre liquide ne doit être utilisé) et administré &lt;15 min après dispersion.";RCP;;Boehringer 24-02-2022 : cf. RCP;2023-04-18
AGOMELATINE 25 mg (Valdoxan);Autres antidépresseurs;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre au coucher.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Servier 28-02-2022 : broyage déconseillé car pas d'étude;2023-04-18
ALBENDAZOLE 400 mg (Eskazole, Zentel);Dérivés du benzimidazole;Comprimé;Suspension buvable;Écrasement possible;;Prise possible avec de l’eau<br>;Peut être croqué.;RCP;;;2023-04-18
ALFACALCIDOL 0,25 0,5 et 1 µg (Un-alfa);Vitamine D et analogues;Capsule molle;Solution buvable;Ne pas ouvrir;;;;RCP;;Cheplapharm 14-03-2022 : cf. RCP;2023-04-18
ALFUZOSINE 2,5 mg (Xatral);Alpha-bloquants;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;;Notice patient;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;2023-04-18
ALFUZOSINE LP 10 mg (Xatral LP);Alpha-bloquants;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre le soir après le repas.;RCP;;;2023-04-18
ALIMEMAZINE 5 mg (Theralene);Dérivés de la phénothiazine;Comprimé sécable;Solution buvable en gouttes;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Laboratoire XO 14-02-2022 : écrasement déconseillé en l'absence de données;2023-04-18
ALLOPURINOL 100, 200 et 300 mg (Zyloric);Inhibiteurs de la synthèse de l'acide urique;Comprimé;Non;Ne pas écraser ni croquer;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre après les repas pour améliorer la tolérance.;Notice patient;Ecrasable selon HUG 03/2023;HAC Pharma 22-02-2022 : peut être dispersé dans 10 mL d'eau si besoin;2023-04-18
"ALPRAZOLAM 0,25 ; 0,5 et 1 mg (Xanax)";Dérivés des benzodiazépines;Comprimé sécable;Non;Écrasement possible;;Prise possible avec de l’eau<br>;;Réponse laboratoire;;Pfizer 04-08-2020 : écrasement déconseillé car hors-AMM. Des études de bioeq et de stabilité sont favorables au broyage et à la mise en suspension.;2023-04-18
ALTIZIDE / SPIRONOLACTONE 25/15 mg (Aldactazine);Diurétiques low-ceiling et épargneurs potassiques;Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;A éviter de préférence en fin de journée.;Réponse laboratoire;;Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.;2023-04-18
ALTRETAMINE 100 mg (Hexastat);Autres antinéoplasiques;Gélule;Non;Ne pas ouvrir;;;PA cytotoxique. A prendre après les repas et avant le coucher.;Notice patient;;Laboratoires Delbert 14-03-2022 : Poudre irritante, ne pas ouvrir pour éviter tout contact.;2023-04-18
ALVERINE / SIMETICONE 60/300mg (Meteospasmyl);Autres médicaments en cas de troubles fonctionnels du côlon;Capsule molle;Non;Ne pas ouvrir;Goût désagréable;;A prendre au début des repas ou au moment des douleurs.;Réponse laboratoire;;Laboratoires Mayoly Spindler 26-04-2023 : écrasement déconseillé car pas d'étude.;2023-09-19
AMANTADINE 100 mg (Mantadix);Dérivés de l'adamantane;Capsule molle;Sirop (AAC);Ne pas ouvrir;;;;Galénique;;;2023-04-18
AMBENONIUM 10 mg (Mytelase);Anticholinestérasiques;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre de préférence pendant ou en fin de repas.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;2023-04-18
AMBROXOL 30 mg (génériques);Mucolytiques;Comprimé sécable;Solution buvable;Écrasement possible;;Prise possible avec de l’eau<br>;;Réponse laboratoire;;Arrow 15-03-2022 : écrasement déconseillé, mais les études s'accordent sur un écrasement possible.;2023-09-19
AMILORIDE / HYDROCHLOROTHIAZIDE 5/50mg (génériques);Diurétiques low-ceiling et épargneurs potassiques;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;;Teva 01-03-2022 : écrasement déconseillé car pas d'étude;2023-04-18
AMIODARONE 200 mg (Cordarone);Antiarythmiques, classe III;Comprimé sécable;Non;Écrasement possible;;Prise possible avec de l’eau<br>;Eviter le jus de pamplemousse.;Notice patient;;Sanofi 23-03-2022 : cf. RCP;2023-04-18
AMISULPRIDE 100, 200 et 400 mg (Solian);Benzamides;Comprimé sécable;Solution buvable;Ne pas écraser ni croquer;;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;2023-04-18
AMITRIPTYLINE 25 et 50 mg (Elavil, Laroxyl);Inhibiteurs non-sélectifs de la recapture des monoamines;Comprimé;Solution buvable;Ne pas écraser ni croquer;Goût désagréable;;;Notice patient;;Teofarma 08-03-2022 : écrasement déconseillé car pas d'étude. Sensible à l'humidité et goût amer.;2023-04-18
AMLODIPINE / INDAPAMIDE 1,5/5 et 1,5/10 mg (Natrixam LM);Inhibiteurs calciques et diurétiques ;Comprimé LM;Non;Ne pas écraser ni croquer;;;A prendre de préférence le matin. Eviter le jus de pamplemousse.;RCP;;;2023-04-18
AMLODIPINE / PERINDOPRIL 5/5, 5/10, 10/5 et 10/10 mg (Coveram);Inhibiteurs de l'enzyme de conversion et inhibiteurs des canaux calciques;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre de préférence le matin à jeun. Eviter le jus de pamplemousse.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Servier 28-02-2022 : broyage déconseillé car pas d'étude;2023-04-18
AMLODIPINE / VALSARTAN 5/80, 5/160 et 10/160 mg (Exforge);Antagoniste de l'angiotensine II et inhibiteurs des canaux calciques;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence à heure fixe. Eviter le jus de pamplemousse.;Thériaque 03/2023;Ecrasable selon HUG 03/2023;Novartis 16-03-2022 : cf. RCP;2023-04-18
AMLODIPINE 5 et 10 mg (Amlor);Dérivés de la dihydropyridine;Gélule;Non;Ouverture possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise immédiate après préparation<br>;A prendre de préférence à heure fixe. Eviter le jus de pamplemousse.;Réponse laboratoire;;Pfizer 04-08-2020 : des études de bioeq et de stabilité sont favorables à la dispersion dans un liquide sucré ou une compote si administration immédiate. Peu hydrosoluble.;2023-04-18
AMOXICILLINE / ACIDE CLAVULANIQUE 500/62,5 mg (Augmentin);Pénicillines associées à un inhibiteur de bêta-lactamases;Comprimé;Poudre pour suspension buvable;Ne pas écraser ni croquer;;;A prendre de préférence au début des repas.;Notice patient;Ecrasable selon HUG 03/2023;GSK 02-10-2020 : cf. RCP;2023-04-18
AMOXICILLINE 500 mg (Clamoxyl);Pénicillines à large spectre;Gélule;Poudre pour suspension buvable, comprimés de 1 g dispersibles;Ne pas ouvrir;;;;RCP;;GSK 02-10-2020 : cf. RCP;2023-04-18
ANASTROZOLE 1 mg (Arimidex);Inhibiteurs de l'aromatase;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre de préférence à heure fixe (uniquement pour favoriser l'observance).;Notice patient;;Juvise Pharmaceuticals 31-03-2022 : écrasement déconseillé car pas d'étude, mais le comprimé est petit et généralement avalé sans difficulté. Peu hydrosoluble.;2023-04-18
ANETHOLTRITHIONE 12,5 et 25 mg (Sulfarlem);Produits divers pour le tube digestif et le métabolisme;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas.;Thériaque 03/2023;;;2023-04-18
APIXABAN 2,5 et 5 mg (Eliquis);Inhibiteurs directs du facteur Xa;Comprimé;Non;Écrasement possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;Les comprimés écrasés sont stables dans l'eau, le glucose à 5%, le jus ou la compote de pomme pendant au moins 4 heures. Eviter le jus de pamplemousse.;RCP;;;2023-04-18
APREPITANT 80 et 125 mg (Emend);Autres antiémétiques;Gélule;Poudre pour suspension buvable;Ne pas ouvrir;;;;RCP;;;2023-04-18
ARIPIPRAZOLE 5, 10 et 15 mg (Abilify);Autres antipsychotiques;Comprimé;Comprimés orodispersibles, solution buvable;Ne pas écraser ni croquer;;;A prendre de préférence à heure fixe. Eviter le jus de pamplemousse.;Thériaque 03/2023;Ecrasable selon HUG 03/2023;;2023-04-18
ARTEMETHER / LUMEFANTRINE 20/120 mg (Riamet);Artémisinine et dérivés en association;Comprimé;Non;Écrasement possible;;Prise possible avec de l’eau<br>;A prendre au cours des repas ou avec une boisson lactée pour améliorer l'absorption. Eviter le jus de pamplemousse.;RCP;;Novartis 16-03-2022 : cf. RCP;2023-04-18
ARTENIMOL / PIPERAQUINE 40/320 mg (Eurartesim);Artémisinine et dérivés en association;Comprimé;Non;Écrasement possible;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;Les comprimés écrasés peuvent être mélangés à de l'eau. A prendre ≥ 3h après le dernier repas et ne pas manger pendant ≤ 3h après la prise.;RCP;;;2023-04-18
ATAZANAVIR 150, 200 et 300 mg (Reyataz);Inhibiteurs de protéase;Gélule;Non;Ne pas ouvrir;;;Eviter le jus de pamplemousse.;RCP;Ouvrable selon HUG 03/2023;Bristol Myers Squibb 28-02-2022 : cf. RCP;2023-04-18
ATENOLOL / CHLORTALIDONE 50/12,5 mg (Tenoretic);Bêta-bloquants sélectifs et autres diurétiques;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre de préférence le matin ou à heure fixe.;Réponse laboratoire;Ecrasable selon HUG 03/2023;AstraZeneca 06-04-2022 : écrasement déconseillé car pas d'étude.;2023-04-18
ATENOLOL / NIFEDIPINE 50/20 mg (génériques);Bêta-bloquants et inhibiteurs du canal de calcium;Gélule LP;Non;?;;;A prendre de préférence le matin ou à heure fixe.;;;En attente (Biogaran);2023-04-18
ATENOLOL 50 et 100 mg (Tenormine);Bêta-bloquants sélectifs;Comprimé sécable;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre de préférence le matin ou à heure fixe.;Réponse laboratoire;;AstraZeneca 02-10-2020 : pas d'étude mais possible en cas de besoin si administration immédiate. Hydrosoluble et amer.;2023-04-18
ATORVASTATINE 10, 20, 40, 80 mg (Tahor);Inhibiteurs de l'HMG-CoA reductase (statines);Comprimé;Comprimés à croquer;Ne pas écraser ni croquer;;Prise possible avec de l’eau<br>;A prendre de préférence à heure fixe. Eviter le jus de pamplemousse.;Notice patient;;Pfizer 04-08-2020 : écrasement déconseillé mais une étude est favorable à la mise en suspension, bien qu'elle soit moins bien tolérée. Peu hydrosoluble et photosensible.;2023-04-18
ATOVAQUONE / PROGUANIL 62,5/25 et 250/100 mg (Malarone);Biguanides;Comprimé;Non;Écrasement possible;;Prise possible avec de l’eau<br>;A administrer à heure fixe pendant les repas ou avec une boisson lactée pour améliorer l'absorption.;RCP;;;2023-04-18
AZATHIOPRINE 25 et 50 mg (Imurel);Autres immunosuppresseurs;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;PA cytotoxique. Mieux toléré si pris pendant les repas, sans prendre de lait ni produits laitiers (≥ 1h avant ou ≥ 2h après). Ne pas diviser le comprimé en deux sauf cas particuliers (cf RCP).;RCP;;ASPEN Pharma 22-02-2022 : non-écrasable car cytotoxique. Peut être dispersé dans 10 mL d'eau en 5 min pour administration par SNG.;2023-04-18
AZITHROMYCINE 250 et 600 mg (Zithromax);Macrolides;Comprimé;Comprimés dispersibles, poudre pour suspension buvable;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;;Réponse laboratoire;;Pfizer 04-08-2020 : pas d'étude mais pas d'opposition à l'écrasement si administration immédiate. Le pelliculage masque le goût amer. Photosensible.;2023-09-19
BACLOFENE 10 mg (Lioresal);Autres myorelaxants à action centrale;Comprimé sécable;Solution buvable (AAC);Ne pas écraser ni croquer;;;A prendre pendant les repas.;Notice patient;Ecrasable selon HUG 03/2023;Novartis 16-03-2022 : cf. RCP;2023-04-18
BAMBUTEROL 10 mg (Oxeol);Agonistes sélectifs des récepteurs β2 adrénergiques;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre avant le coucher.;Réponse laboratoire;;AstraZeneca 06-04-2022 : écrasement déconseillé car pas d'étude. Il s'agit d'un comprimé sans pelliculage, enrobage, dragéification ou tout autre procédé galénique particulier. ;2025-06-27
BENAZEPRIL / HYDROCHLOROTHIAZIDE 10/12,5 mg (Cibadrex) ;Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques;Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;2023-04-18
BENAZEPRIL 5 et 10 mg (génériques);Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;;Arrow 21-03-2023 : écrasement déconseillé car pas d'étude.;2023-04-18
BENZYLTHIOURACILE 25 mg (Basdene);Thiouraciles;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence pendant les repas.;Réponse laboratoire;;Bouchara-Recordati 23-03-2022 : écrasement déconseillé car pas d'étude;2023-04-18
BETA-CAROTENE / MYRTILLE EXTRAIT ANTHOCYANOSIDIQUE 5/100 mg  (Difrarel);Autres stabilisateurs de capillaires;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;Prise possible avec de l’eau<br>;;RCP;Ecrasable selon laboratoire;Biocodex 25-02-2022 : peut être écrasé si besoin, mais mauvais goût.;2023-04-18
BETAHISTINE 8, 16 et 24 mg (Serc, Betaserc, Lectil);Antivertigineux;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas pour améliorer la tolérance.;Notice patient;;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;2023-04-18
BETAXOLOL 20 mg (Kerlone);Bêta-bloquants sélectifs;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Notice patient;;Cheplapharm 14-03-2022 : cf. RCP;2023-04-18
BEZAFIBRATE 200 mg (Befizal);Fibrates;Comprimé;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>;A prendre de préférence pendant les repas.;Réponse laboratoire;;Arrow 15-03-2022 : écrasement déconseillé, mais des études suggèrent sur un écrasement possible. Goût amer.;2023-04-18
BEZAFIBRATE LP 400 mg (Befizal LP);Fibrates;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre de préférence pendant les repas.;Galénique;;;2023-04-18
BICALUTAMIDE 50 mg (Casodex);Anti-androgènes;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence à heure fixe (uniquement pour favoriser l'observance).;Réponse laboratoire;Ecrasable selon HUG 03/2023;Juvise Pharmaceuticals 31-03-2022 : écrasement déconseillé car pas d'étude. Très peu hydrosoluble.;2023-04-18
BICTEGRAVIR / EMTRICITABINE / TENOFOVIR 30/120/15 mg (Biktarvy);Antiviraux pour le traitement des infections au VIH en association;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre avec ou sans nourriture. Eviter le jus de pamplemousse.;RCP;;Gilead 3-04-2025 : le fait d’écraser les comprimés de Biktarvy® 30 mg/120 mg/15 mg et de les disperser dans un milieu liquide n’a pas été étudié et n’est pas recommandé.;2025-04-03
BICTEGRAVIR / EMTRICITABINE / TENOFOVIR 50/200/25 mg (Biktarvy);Antiviraux pour le traitement des infections au VIH en association;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre avec ou sans nourriture. Eviter le jus de pamplemousse.;RCP;;Gilead 25-05-2025 : Seul le dosage Biktarvy® 50 mg/200 mg/25 mg (qui n’est pas exclusivement adulte) a fait l’objet d’une étude de son administration en écrasant les comprimés ou en les dispersant dans un milieu liquide par rapport à un comprimé entier.;2025-04-01
BIPERIDENE LP 4 mg (Akineton LP);Amines tertiaires;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre le matin.;Réponse laboratoire;;DB Pharma 21-02-2022 : pas d'informations complémentaires au RCP;2023-04-18
BISACODYL 5 mg (Contalax, Dulcolax);Laxatifs de contact;Comprimé GR;Suppositoires;Ne pas écraser ni croquer;;;PA irritant.;RCP;;;2023-04-18
"BISOPROLOL / HYDROCHLOROTHIAZIDE 2,5/6,25 ; 5/6,25 et 10/6,25 mg (Lodoz)";Bêta-bloquants sélectifs et autres diurétiques;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre le matin.;RCP;;;2023-04-18
"BISOPROLOL 1,25 ; 2,5 ; 3,75 ; 5 ; 7,5 et 10 mg (Cardensiel, Detensiel)";Bêta-bloquants sélectifs;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre le matin.;RCP;;;2023-04-18
