"Agglomération";"Hôpital";"Adresse";"Ouverture";"Téléphone";"Commentaire"
"Paris";"Hôpital Ambroise Paré";"9 av. Charles de Gaulle - 92100 Boulogne-Billancourt";"lun-ven 8:30-17:00";"01 49 09 55 09";"Numéro médecin 01 49 09 55 10"
"Paris";"Hôpital Cochin: OphtalmoPôle - Bâtiment Pascal";"8 Rue Mechain - 75014 Paris";"24/7";"01 58 41 23 00";""
"Paris";"Hôpital Kremlin Bicêtre - Bâtiment Testas porte 6";"78 av. du général Leclerc - 94270 Le Kremlin-Bicêtre";"lun-ven 8:00-16:00";"01 45 21 36 85";""
"Paris";"Hôpital Lariboisière";"2 rue Ambroise Paré - 75010 Paris";"lun-ven 8:30-16:00";"01 49 95 64 78";"BAV brutale/récente ou suivi/opéré dans le service uniquement"
"Paris";"Hôpital Rothschild";"27 rue Manin - 75019 Paris";"24/7";"01 48 03 68 84";""
"Paris";"Centre Ophtalmologique Paris 17 SOS ŒIL";"33-35 Rue de Chazelles - 75017 Paris";"9:00-18:00";"01 47 64 50 8801 47 64 46 75";""
"Pontault-Combault";"Centre Ophtalmologiquede la vision";"138 av. de la République - 77340 Pontault-Combault";"lun-sam 9:00-18:00";"01 60 28 60 97";"Appeler le secrétariat avant"
"Reims";"Hôpital Robert Debré";"Rue du Général Koenig - 51100 Reims";"lun-ven 8:00-17:30";"03 26 78 77 20";"Urgences en dehors des horaires"
"Rennes";"Hôpital Pontchaillou";"2 rue Henri Le Guilloux - 35000 Rennes";"24/7";"02 99 28 42 89";""
"Roissy-en-Brie";"Seima-Ophta";"Place de la Révolution - 77680 Roissy-en-Brie";"lun-sam journée";"01 60 62 41 72";"Appeler avant"
"Saint-Etienne";"Hôpital de Bellevue - Bâtiment B - niveau 0";"25 bd Pasteur - 42100 Saint-Etienne";"24/7";"04 77 12 77 93";"Après 17:30 (17h vendredi) Bâtiment G urgences adultes"
"Strasbourg";"Hôpital Civil - Unité Urgences UF4";"1 pl. de l’Hôpital - 67000 Strasbourg";"lun-ven 8:15-18:00";"03 69 55 02 7003 69 55 05 61";"Urgences du Nouvel Hôpital Civil en dehors des horaires"
"Strasbourg";"Centre Ophtalmo. Maison Rouge";"6 rue de l’église - 67000 Strasbourg";"lun-ven 9:00-19:00 - sam 8:30-11:30";"03 88 23 88 25";"Urgences Clinique Rhena en dehors des horaires"
"Toulon";"Ophtaval";"Pl. Gén de Gaulle Le Médival - Bat A; 83160 La Valette du Var";"Journée";"04 94 61 00 88";""
"Toulouse";"Site Purpan - Hôpital Riquet - 3e étage; Hall C";"Pl. du Dr Baylac - 31300 Toulouse";"24/7";"05 61 77 22 33";""
"Toulouse";"Centre ophtalmologique de laclinique de l’union";"Bd de Ratalens - 31240 Saint-Jean";"lun-ven 9:00-12:00 - 14:00-18:00";"05 61 37 87 34";"Urgences de la clinique we et jf"
"Tours";"CHU Bretonneau";"2 bd Tonnelé - 37000 Tours";"lun-ven 8:30-17:30";"02 47 47 47 47";"Sur appel en dehors des horaires"
"Villeneuve-Saint-Georges";"Hôpital Intercommunal CHIV";"40 All. de la source - 94190 Villeneuve-St-Georges";"24/7";"01 43 86 20 20";"Urgences de 17:00 à 8:30"
