"Principe actif";"Forme galénique";"Classe ATC";"Libellé ATC3";"Libellé ATC4";"Goût";"Modalités de préparation";"Source des modalités";"Autre source";"Méthode d'administration si médicament écrasé, ouvert ou délité";"Alternatives galéniques";"Informations RCP, notice patient et Thériaque";"Réponses laboratoires résumées";"Date de màj";
"ACIDE TIAPROFENIQUE 100 et 200 mg (Surgam)";"Comprimé sécable";"M01AE11";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide propionique";;"D";"RCP";;"E";"Non";"Peut être dissout sans l'écraser dans un grand verre d'eau.";;"18/04/2023";
"ACIDE TRANEXAMIQUE 500 mg (Exacyl)";"Comprimé";"B02AA02";"Antifibrinolytiques";"Acides aminés";"G";"NE";"Réponse laboratoire";;;"Solution buvable";;"Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"ACIDE URSODESOXYCHOLIQUE 200 mg (Ursolvan)";"Gélule";"A05AA02";"Traitement de la vésicule biliaire";"Acides biliaires et dérivés";;"NO";"Notice patient";;;"Suspension buvable (AAC)";"A prendre pendant les repas.";"Cheplapharm 14-03-2022 : cf. RCP";"18/04/2023";
"ACIDE URSODESOXYCHOLIQUE 250 et 500 mg (Cholurso, Delursan)";"Comprimé ou comprimé sécable";"A05AA02";"Traitement de la vésicule biliaire";"Acides biliaires et dérivés";"G";"NE";"Notice patient";;;"Suspension buvable (AAC)";"A prendre pendant les repas.";"Laboratoires Mayoly Spindler 26-04-2023 : écrasement déconseillé car pas d'étude.";"26/04/2023";
"ACITRETINE 10 et 25 mg (Soriatane)";"Gélule";"D05BB02";"Médicaments contre le psoriasis à usage systémique";"Rétinoïdes pour le traitement du psoriasis";;"NO";"Notice patient";"Ouvrable selon laboratoire";"E, V, ";"Non";"PA tératogène. A prendre de préférence pendant les repas ou avec du lait";"Arrow 15-03-2022 : ouverture possible si administration immédiate (molécule très fragile) et lavage des mains au savon (contact cutané seul non tératogène, mais à risque d'ingestion).";"18/04/2023";
"ADEFOVIR 10 mg (Hepsera)";"Comprimé";"J05AF08";"Antiviraux à action directe";"Inhibiteurs de la transcriptase inverse nucléosidique et nucléotidique";"G";"NE";"Réponse laboratoire";;;"Non";;"Gilead 02-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"AFATINIB 20, 30, 40 et 50 mg (Giotrif)";"Comprimé";"L01EB03";"Autres antinéoplasiques";"Inhibiteurs de protéine kinase";;"D";"RCP";;"E";"Non";"A prendre à heure fixe, ? 1h avant ou ? 3h après les repas. Peut être dispersé sans l'écraser dans environ 100 mL d'eau plate (aucun autre liquide ne doit être utilisé) et administré <15 min après dispersion.";"Boehringer 24-02-2022 : cf. RCP";"18/04/2023";
"AGOMELATINE 25 mg (Valdoxan)";"Comprimé";"N06AX22";"Antidépresseurs";"Autres antidépresseurs";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre au coucher.";"Servier 28-02-2022 : broyage déconseillé car pas d'étude";"18/04/2023";
"ALBENDAZOLE 400 mg (Eskazole, Zentel)";"Comprimé";"P02CA03";"Antinématodes";"Dérivés du benzimidazole";;"E";"RCP";;"E";"Suspension buvable";"Peut être croqué.";;"18/04/2023";
"ALFACALCIDOL 0,25 0,5 et 1 µg (Un-alfa)";"Capsule molle";"A11CC03";"Vitamines A et D, y compris en association";"Vitamine D et analogues";;"NO";"RCP";;;"Solution buvable";;"Cheplapharm 14-03-2022 : cf. RCP";"18/04/2023";
"ALFUZOSINE 2,5 mg (Xatral)";"Comprimé";"G04CA01";"Médicaments de l'hypertrophie bénigne de la prostate";"Alpha-bloquants";"G";"NE";"Notice patient";"Ecrasable selon HUG 03/2023";"E, V";"Non";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"ALFUZOSINE LP 10 mg (Xatral LP)";"Comprimé LP";"G04CA01";"Médicaments de l'hypertrophie bénigne de la prostate";"Alpha-bloquants";;"NE";"RCP";;;"Non";"A prendre le soir après le repas.";;"18/04/2023";
"ALIMEMAZINE 5 mg (Theralene)";"Comprimé sécable";"R06AD01";"Antihistaminiques à usage systémique";"Dérivés de la phénothiazine";;"NE";"Réponse laboratoire";;;"Solution buvable en gouttes";;"Laboratoire XO 14-02-2022 : écrasement déconseillé en l'absence de données";"18/04/2023";
"ALLOPURINOL 100, 200 et 300 mg (Zyloric)";"Comprimé";"M04AA01";"Médicaments contre la goutte";"Inhibiteurs de la synthèse de l'acide urique";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";"E, V     ";"Non";"A prendre après les repas pour améliorer la tolérance.";"HAC Pharma 22-02-2022 : peut être dispersé dans 10 mL d'eau si besoin";"18/04/2023";
"ALPRAZOLAM 0,25 ; 0,5 et 1 mg (Xanax)";"Comprimé sécable";"N05BA12";"Anxiolytiques";"Dérivés des benzodiazépines";;"E";"Réponse laboratoire";;"E";"Non";;"Pfizer 04-08-2020 : écrasement déconseillé car hors-AMM. Des études de bioeq et de stabilité sont favorables au broyage et à la mise en suspension.";"18/04/2023";
"ALTIZIDE / SPIRONOLACTONE 25/15 mg (Aldactazine)";"Comprimé sécable";"C03EA04";"Diurétiques et épargneurs potassiques en association";"Diurétiques low-ceiling et épargneurs potassiques";"G";"NE";"Réponse laboratoire";;;"Non";"A éviter de préférence en fin de journée.";"Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"ALTRETAMINE 100 mg (Hexastat)";"Gélule";"L01XX03";"Autres antinéoplasiques";"Autres antinéoplasiques";;"NO";"Notice patient";;;"Non";"PA cytotoxique. A prendre après les repas et avant le coucher.";"Laboratoires Delbert 14-03-2022 : Poudre irritante, ne pas ouvrir pour éviter tout contact.";"18/04/2023";
"ALVERINE / SIMETICONE 60/300mg (Meteospasmyl)";"Capsule molle";"A03AX58";"Médicaments en cas de troubles fonctionnels gastro-intestinaux";"Autres médicaments en cas de troubles fonctionnels du côlon";"G";"NO";"Réponse laboratoire";;;"Non";"A prendre au début des repas ou au moment des douleurs.";"Laboratoires Mayoly Spindler 26-04-2023 : écrasement déconseillé car pas d'étude.";"19/09/2023";
"AMANTADINE 100 mg (Mantadix)";"Capsule molle";"N04BB01";"Dopaminergiques";"Dérivés de l'adamantane";;"NO";"Galénique";;;"Sirop (AAC)";;;"18/04/2023";
"AMBENONIUM 10 mg (Mytelase)";"Comprimé sécable";"N07AA30";"Parasympathomimétiques";"Anticholinestérasiques";;"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence pendant ou en fin de repas.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"AMBROXOL 30 mg (génériques)";"Comprimé sécable";"R05CB06";"Expectorants sauf associations avec des antitussifs";"Mucolytiques";;"E";"Réponse laboratoire";;"E";"Solution buvable";;"Arrow 15-03-2022 : écrasement déconseillé, mais les études s'accordent sur un écrasement possible.";"19/09/2023";
"AMILORIDE / HYDROCHLOROTHIAZIDE 5/50mg (génériques)";"Comprimé";"C03EA01";"Diurétiques et épargneurs potassiques en association";"Diurétiques low-ceiling et épargneurs potassiques";"G";"NE";"Réponse laboratoire";;;"Non";;"Teva 01-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"AMIODARONE 200 mg (Cordarone)";"Comprimé sécable";"C01BD01";"Antiarythmiques de classe I et III";"Antiarythmiques, classe III";;"E";"Notice patient";;"E";"Non";"Eviter le jus de pamplemousse.";"Sanofi 23-03-2022 : cf. RCP";"18/04/2023";
"AMISULPRIDE 100, 200 et 400 mg (Solian)";"Comprimé sécable";"N05AL05";"Antipsychotiques";"Benzamides";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Solution buvable";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"AMITRIPTYLINE 25 et 50 mg (Elavil, Laroxyl)";"Comprimé";"N06AA09";"Antidépresseurs";"Inhibiteurs non-sélectifs de la recapture des monoamines";"G";"NE";"Notice patient";;;"Solution buvable";;"Teofarma 08-03-2022 : écrasement déconseillé car pas d'étude. Sensible à l'humidité et goût amer.";"18/04/2023";
"AMLODIPINE / INDAPAMIDE 1,5/5 et 1,5/10 mg (Natrixam LM)";"Comprimé LM";"C08GA02";"Inhibiteurs calciques et diurétiques ";"Inhibiteurs calciques et diurétiques ";;"NE";"RCP";;;"Non";"A prendre de préférence le matin. Eviter le jus de pamplemousse.";;"18/04/2023";
"AMLODIPINE / PERINDOPRIL 5/5, 5/10, 10/5 et 10/10 mg (Coveram)";"Comprimé";"C09BB04";"Inhibiteurs de l'enzyme de conversion de l'angiotensine en associations";"Inhibiteurs de l'enzyme de conversion et inhibiteurs des canaux calciques";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre de préférence le matin à jeun. Eviter le jus de pamplemousse.";"Servier 28-02-2022 : broyage déconseillé car pas d'étude";"18/04/2023";
"AMLODIPINE / VALSARTAN 5/80, 5/160 et 10/160 mg (Exforge)";"Comprimé";"C09DB01";"Antagonistes de l'angiotensine II en associations";"Antagoniste de l'angiotensine II et inhibiteurs des canaux calciques";"G";"NE";"Thériaque 03/2023";"Ecrasable selon HUG 03/2023";;"Non";"A prendre de préférence à heure fixe. Eviter le jus de pamplemousse.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"AMLODIPINE 5 et 10 mg (Amlor)";"Gélule";"C08CA01";"Inhibiteurs calciques sélectifs à effets vasculaires";"Dérivés de la dihydropyridine";;"O";"Réponse laboratoire";;"E, J, L, C, V";"Non";"A prendre de préférence à heure fixe. Eviter le jus de pamplemousse.";"Pfizer 04-08-2020 : des études de bioeq et de stabilité sont favorables à la dispersion dans un liquide sucré ou une compote si administration immédiate. Peu hydrosoluble.";"18/04/2023";
"AMOXICILLINE / ACIDE CLAVULANIQUE 500/62,5 mg (Augmentin)";"Comprimé";"J01CR02";"Antibactériens bêta-lactamines et pénicillines";"Pénicillines associées à un inhibiteur de bêta-lactamases";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Poudre pour suspension buvable";"A prendre de préférence au début des repas.";"GSK 02-10-2020 : cf. RCP";"18/04/2023";
"AMOXICILLINE 500 mg (Clamoxyl)";"Gélule";"J01CA04";"Antibactériens bêta-lactamines et pénicillines";"Pénicillines à large spectre";;"NO";"RCP";;;"Poudre pour suspension buvable, comprimés de 1 g dispersibles";;"GSK 02-10-2020 : cf. RCP";"18/04/2023";
"ANASTROZOLE 1 mg (Arimidex)";"Comprimé";"L02BG03";"Antihormones et apparentés";"Inhibiteurs de l'aromatase";;"NE";"Notice patient";;;"Non";"A prendre de préférence à heure fixe (uniquement pour favoriser l'observance).";"Juvise Pharmaceuticals 31-03-2022 : écrasement déconseillé car pas d'étude, mais le comprimé est petit et généralement avalé sans difficulté. Peu hydrosoluble.";"18/04/2023";
"ANETHOLTRITHIONE 12,5 et 25 mg (Sulfarlem)";"Comprimé";"A16AX02";"Autres produits pour les voies digestives et le métabolisme";"Produits divers pour le tube digestif et le métabolisme";;"NE";"Thériaque 03/2023";;;"Non";"A prendre pendant les repas.";;"18/04/2023";
"APIXABAN 2,5 et 5 mg (Eliquis)";"Comprimé";"B01AF02";"Antithrombotiques";"Inhibiteurs directs du facteur Xa";;"E";"RCP";;"E, J, L, C, Y";"Non";"Les comprimés écrasés sont stables dans l'eau, le glucose à 5%, le jus ou la compote de pomme pendant au moins 4 heures. Eviter le jus de pamplemousse.";;"18/04/2023";
"APREPITANT 80 et 125 mg (Emend)";"Gélule";"A04AD12";"Antiémétiques et antinauséeux";"Autres antiémétiques";;"NO";"RCP";;;"Poudre pour suspension buvable";;;"18/04/2023";
"ARIPIPRAZOLE 5, 10 et 15 mg (Abilify)";"Comprimé";"N05AX12";"Antipsychotiques";"Autres antipsychotiques";;"NE";"Thériaque 03/2023";"Ecrasable selon HUG 03/2023";;"Comprimés orodispersibles, solution buvable";"A prendre de préférence à heure fixe. Eviter le jus de pamplemousse.";;"18/04/2023";
"ARTEMETHER / LUMEFANTRINE 20/120 mg (Riamet)";"Comprimé";"P01BF01";"Antipaludéens";"Artémisinine et dérivés en association";;"E";"RCP";;"E";"Non";"A prendre au cours des repas ou avec une boisson lactée pour améliorer l'absorption. Eviter le jus de pamplemousse.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"ARTENIMOL / PIPERAQUINE 40/320 mg (Eurartesim)";"Comprimé";"P01BF05";"Antipaludéens";"Artémisinine et dérivés en association";;"E";"RCP";;"E, V";"Non";"Les comprimés écrasés peuvent être mélangés à de l'eau. A prendre ? 3h après le dernier repas et ne pas manger pendant ? 3h après la prise.";;"18/04/2023";
"ATAZANAVIR 150, 200 et 300 mg (Reyataz)";"Gélule";"J05AE08";"Antiviraux à action directe";"Inhibiteurs de protéase";;"NO";"RCP";"Ouvrable selon HUG 03/2023";;"Non";"Eviter le jus de pamplemousse.";"Bristol Myers Squibb 28-02-2022 : cf. RCP";"18/04/2023";
"ATENOLOL / CHLORTALIDONE 50/12,5 mg (Tenoretic)";"Comprimé sécable";"C07CB03";"Bêtabloquants et thiazidiques";"Bêta-bloquants sélectifs et autres diurétiques";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre de préférence le matin ou à heure fixe.";"AstraZeneca 06-04-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"ATENOLOL / NIFEDIPINE 50/20 mg (génériques)";"Gélule LP";"C07FB03";"Bêta-bloquants, autres associations";"Bêta-bloquants et inhibiteurs du canal de calcium";;"?";;;;"Non";"A prendre de préférence le matin ou à heure fixe.";"En attente (Biogaran)";"18/04/2023";
"ATENOLOL 50 et 100 mg (Tenormine)";"Comprimé sécable";"C07AB03";"Bêta-bloquants";"Bêta-bloquants sélectifs";"G";"E";"Réponse laboratoire";;"E, V";"Non";"A prendre de préférence le matin ou à heure fixe.";"AstraZeneca 02-10-2020 : pas d'étude mais possible en cas de besoin si administration immédiate. Hydrosoluble et amer.";"18/04/2023";
"ATORVASTATINE 10, 20, 40, 80 mg (Tahor)";"Comprimé";"C10AA05";"Agents réduisants les lipides sériques, non associés";"Inhibiteurs de l'HMG-CoA reductase (statines)";;"NE";"Notice patient";;"E";"Comprimés à croquer";"A prendre de préférence à heure fixe. Eviter le jus de pamplemousse.";"Pfizer 04-08-2020 : écrasement déconseillé mais une étude est favorable à la mise en suspension, bien qu'elle soit moins bien tolérée. Peu hydrosoluble et photosensible.";"18/04/2023";
"ATOVAQUONE / PROGUANIL 62,5/25 et 250/100 mg (Malarone)";"Comprimé";"P01BB51";"Antipaludéens";"Biguanides";;"E";"RCP";;"E";"Non";"A administrer à heure fixe pendant les repas ou avec une boisson lactée pour améliorer l'absorption.";;"18/04/2023";
"AZATHIOPRINE 25 et 50 mg (Imurel)";"Comprimé ou comprimé sécable";"L04AX01";"Immunosuppresseurs";"Autres immunosuppresseurs";;"NE";"RCP";;;"Non";"PA cytotoxique. Mieux toléré si pris pendant les repas, sans prendre de lait ni produits laitiers (? 1h avant ou ? 2h après). Ne pas diviser le comprimé en deux sauf cas particuliers (cf RCP).";"ASPEN Pharma 22-02-2022 : non-écrasable car cytotoxique. Peut être dispersé dans 10 mL d'eau en 5 min pour administration par SNG.";"18/04/2023";
"AZITHROMYCINE 250 et 600 mg (Zithromax)";"Comprimé";"J01FA10";"Macrolides, lincosamides et streptogramines";"Macrolides";"G";"E";"Réponse laboratoire";;"E, V";"Comprimés dispersibles, poudre pour suspension buvable";;"Pfizer 04-08-2020 : pas d'étude mais pas d'opposition à l'écrasement si administration immédiate. Le pelliculage masque le goût amer. Photosensible.";"19/09/2023";
"BACLOFENE 10 mg (Lioresal)";"Comprimé sécable";"M03BX01";"Myorelaxants à action centrale";"Autres myorelaxants à action centrale";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Solution buvable (AAC)";"A prendre pendant les repas.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"BAMBUTEROL 10 mg (Oxeol)";"Comprimé sécable";"R03CC12";"Adrénergiques à usage systémique";"Agonistes sélectifs des récepteurs ?2 adrénergiques";;"NE";"Réponse laboratoire";;;"Non";"A prendre avant le coucher.";"AstraZeneca 06-04-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"BENAZEPRIL / HYDROCHLOROTHIAZIDE 10/12,5 mg (Cibadrex) ";"Comprimé sécable";"C09BA07";"Inhibiteurs de l'enzyme de conversion de l'angiotensine en associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques";"G";"NE";"Réponse laboratoire";;;"Non";;"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"BENAZEPRIL 5 et 10 mg (génériques)";"Comprimé ou comprimé sécable";"C09AA07";"Inhibiteurs de l'enzyme de conversion de l'angiotensine (IEC), sauf associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association";"G";"NE";"Réponse laboratoire";;;"Non";;"Arrow 21-03-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"BENZYLTHIOURACILE 25 mg (Basdene)";"Comprimé";"H03BA03";"Antithyroïdiens";"Thiouraciles";"G";"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence pendant les repas.";"Bouchara-Recordati 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"BETA-CAROTENE / MYRTILLE EXTRAIT ANTHOCYANOSIDIQUE 5/100 mg  (Difrarel)";"Comprimé";"C05CX";"Médicaments agissant sur les capillaires";"Autres stabilisateurs de capillaires";"G";"NE";"RCP";"Ecrasable selon laboratoire";"E";"Non";;"Biocodex 25-02-2022 : peut être écrasé si besoin, mais mauvais goût.";"18/04/2023";
"BETAHISTINE 8, 16 et 24 mg (Serc, Betaserc, Lectil)";"Comprimé ou comprimé sécable";"N07CA01";"Antivertigineux";"Antivertigineux";;"NE";"Notice patient";;;"Non";"A prendre pendant les repas pour améliorer la tolérance.";"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"BETAXOLOL 20 mg (Kerlone)";"Comprimé sécable";"C07AB05";"Bêta-bloquants";"Bêta-bloquants sélectifs";;"NE";"Notice patient";;;"Non";;"Cheplapharm 14-03-2022 : cf. RCP";"18/04/2023";
"BEZAFIBRATE 200 mg (Befizal)";"Comprimé";"C10AB02";"Agents réduisants les lipides sériques, non associés";"Fibrates";"G";"E";"Réponse laboratoire";;"E";"Non";"A prendre de préférence pendant les repas.";"Arrow 15-03-2022 : écrasement déconseillé, mais des études suggèrent sur un écrasement possible. Goût amer.";"18/04/2023";
"BEZAFIBRATE LP 400 mg (Befizal LP)";"Comprimé LP";"C10AB02";"Agents réduisants les lipides sériques, non associés";"Fibrates";;"NE";"Galénique";;;"Non";"A prendre de préférence pendant les repas.";;"18/04/2023";
"BICALUTAMIDE 50 mg (Casodex)";"Comprimé";"L02BB03";"Antihormones et apparentés";"Anti-androgènes";"G";"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre de préférence à heure fixe (uniquement pour favoriser l'observance).";"Juvise Pharmaceuticals 31-03-2022 : écrasement déconseillé car pas d'étude. Très peu hydrosoluble.";"18/04/2023";
